Cost Component,Proportion
Transport,80.22098980780038
Entertainment and Education,10.803349862218099
Housing,8.188632858579519
Clothing and Shoes,0.39033260368310513
Utilities,0.1983156584651051
Meals,0.061854799334720725
Groceries,0.05175165204001679
Market Items,0.02454722850096924
Drinks,0.019754923327575603
Fruits and Vegetables,0.01966220790376143
Mortgage,0.01384664131283555
Cigarettes,0.00696175683391956
