country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
Afghanistan,0.039898461657102854,0.007850011524301061,0.05133630884504371,0.014913292818743753,0.017161093475481944,0.004737672153432799,93.24523799108178,1.183769634322602,2.277990348635611,0.20550085234871826,2.9225731231167105,0.02903121002048784,19278.103333333333
Albania,0.11165691150799792,0.02385297776384251,0.07171775008984571,0.02000221429777162,0.025432443456705485,0.0093701911007725,88.2716426884847,0.3146247797586294,5.4476032815553594,0.6456033385988715,5.045751094786195,0.012742328599309155,30643.273999999998
Algeria,0.04224865540568081,0.009917689856323974,0.05046767710576207,0.017851841741383153,0.01856647811684593,0.004746423485849233,93.43234892289843,0.16445499252111226,2.5186388385667726,0.3766900385351487,3.3573448107499035,0.006723631016780204,41814.76617647059
American Samoa,19.53801017566012,3.4055037694507373,10.959260222081925,2.7407434916626436,0.0,0.0,0.0,30.133323430014485,0.0,0.0,33.22315891113009,0.0,269.27
Andorra,0.2639080446531663,0.04356476695873008,0.15273582705392186,0.05467910935533934,0.033602169888194325,0.02541038125649656,27.511092747171745,0.48429451279733027,13.556172059234262,1.5714125292615295,56.29084736783002,0.012280484539258679,23153.266666666666
Angola,0.175716797859159,0.022949858337591677,0.056996839912663126,0.026550126624250672,0.01788281408229384,0.0029631837750279766,68.47036156916583,0.33055796602324594,5.494083485035996,1.0692944970565954,24.29560306493951,0.03703979718784971,13498.993999999999
Anguilla,0.3335479513325152,0.036796726120406194,0.139948204261217,0.016641913742015915,0.04318381455017777,0.0,79.88601176182335,0.5369589759084347,9.514987569129143,0.0,9.491923083132745,0.0,56363.71
Antigua And Barbuda,0.2357172704387634,0.03773160180065928,0.08321778999605182,0.07413384593365,0.03686751931667471,0.00983724674074734,98.45211808772785,0.44254316756686346,0.6078931054637045,0.0,0.0,0.01994036501502839,45134.579999999994
Argentina,0.0834707460307117,0.01693833432215587,0.03870113197673373,0.015614995576654897,0.012914099351011784,0.003725027879976188,84.90286563081439,0.1398783110703511,6.383570237408777,0.5569348422340246,7.766124877593675,0.07926176574153104,36887.618518518524
Armenia,0.10253871359193725,0.015218870707910958,0.0605256689129961,0.016578821447822422,0.019900088428242042,0.003482417212605658,81.3347075386629,0.26746221950721205,11.246489971070782,0.6714658515976158,6.2310505996793175,0.030579239180668197,42403.496666666666
Aruba,0.07390725342741455,0.011398506945351564,0.03757347252934866,0.021041477419557742,0.01501774090245224,0.00704710611876845,44.39526261411196,0.21521545923752478,9.200575283477539,0.28460491027711027,45.73243227997263,0.005923895580357893,120191.18
Australia,0.1798654115455694,0.04064172251287086,0.07422113887696831,0.03947893610729629,0.039898202800875714,0.04659025724722558,68.6942876522954,0.35509023454385874,15.15677525984459,0.5819651700302332,14.786118618186414,0.005067396008729632,41441.40296874999
Austria,0.15058613906380194,0.030913799044190764,0.09228921808370753,0.025540229416983872,0.01661100767588395,0.010250268090254257,65.90356632432814,0.43901590643647836,12.385633698506913,0.5270146814518876,20.415121661336325,0.0034570665654486653,54340.042142857135
Azerbaijan,0.09030639358063827,0.01902091936597212,0.048485858651808024,0.02111920713647824,0.020582780460685002,0.009237800820151933,88.21370420787014,0.17884939560272978,7.2116194641322755,0.4577349570326678,3.7014863197712904,0.027852695575164538,30674.360909090912
Bahamas,0.12530523129555624,0.023063699715152,0.04040858173132636,0.027406986303667148,0.023742043824421178,0.010363590558279085,77.41249784955495,0.3341410024908419,11.746555189605656,0.3216293222532104,9.928527026642529,0.006359476024398529,106140.82
Bahrain,0.10457163012889817,0.04846142639154072,0.05873647565810157,0.022134807623984315,0.06368869156704725,0.010933214735749756,77.95504793744999,0.43651706501652426,10.407148827187472,0.5122572136213415,10.367441640531744,0.013061070087593517,52165.200000000004
Bangladesh,0.02511261671785044,0.020726867577038465,0.029010241122412,0.009526543190869331,0.018380624509442008,0.00495350751983438,96.30581890696158,0.0975777569432573,1.8212391065600773,0.18215900844671093,1.471073757623741,0.014421062827168915,56508.78000000002
Barbados,0.1424082310672467,0.020076708583136735,0.06971048056042536,0.023199251130878947,0.025047976682610794,0.008973082555966783,86.51066128462077,0.1695078422036087,6.390920232452438,0.43978249969338207,6.192757144196985,0.006955266252552142,88709.76000000001
Belarus,0.08841588871290838,0.013971513304176732,0.04252357677730669,0.02063804466776719,0.019516863166701367,0.003560789396903494,84.61307291055414,0.14233295342928673,11.69498541019316,0.4793293147627612,2.846197100282055,0.03545563475284082,48163.4775
Belgium,0.1500814278410665,0.024755279861846367,0.06268501945223863,0.017525247446762135,0.015102069364156916,0.011402064364980528,69.84265737718691,0.3218046729096029,18.227175861995725,0.521655616933379,10.80267113627377,0.0024842263695537786,64261.86743589743
Belize,0.12941023453355466,0.037541121405006705,0.0665514977125333,0.036658832014787875,0.06282952194055053,0.010114191618998694,92.40269370546704,0.4469292414426402,0.37545795785882047,0.6304162197276869,5.777634092503427,0.023763383774966892,34229.132
Benin,0.11787784387977145,0.03610734187168447,0.059211945318877655,0.03143181650644744,0.02412844111841297,0.003003257168911374,76.7888491791552,0.24534563394663483,18.66114795409931,0.2603960477135657,3.755436578034178,0.017063961186996445,29301.52
Bermuda,0.14384510877322443,0.02541757901415533,0.058264683749484424,0.04505169489206761,0.028413116330876086,0.013064694930846468,55.70561253214179,0.3070055014822349,19.352609517103815,0.31852052488042143,23.997375494087557,0.00481955261353587,134867.28999999998
Bhutan,0.0565925837576755,0.03486158349314753,0.036624592332950505,0.02114844082181047,0.014249710579103177,0.01273198992570757,91.97374128642463,0.12393952143814917,2.0246853431646885,0.3116769671096903,5.3659933531500625,0.023754627802388784,43486.263333333336
Bolivia,0.05823951105643577,0.02380400259933204,0.05389441664515719,0.02602482863176331,0.029206149218266694,0.007114774474608209,86.11000366258426,0.28190769261104753,6.646190345728745,0.48246302108671785,6.267491228372419,0.013660366991247761,28110.51857142857
Bosnia And Herzegovina,0.0693816067605521,0.016585210030790633,0.05628719682948472,0.016793719743068775,0.016896237018272194,0.007296102348799357,86.98848658021066,0.3657520990498977,6.77644228079322,0.5315642349962841,5.145927607234983,0.008587124983988193,44270.2123076923
Botswana,0.08697990493153884,0.018480149772989844,0.04100950569623924,0.02267719712143331,0.023202854714976132,0.008714417292952099,55.330751149917056,0.17133973529526275,8.697834438555804,0.32320549942974364,35.26762460097251,0.00818054629951017,40584.08666666666
Brazil,0.07940055269942904,0.018704544007293534,0.055594374333228315,0.016831771779311673,0.024871735061451253,0.004802409299017349,84.62368466562864,0.21396330152562903,9.430191722268207,0.44287755459129446,5.06901786161784,0.020059507188655918,37882.4081707317
British Virgin Islands,0.12236981381432827,0.01989189306781803,0.07199424046076314,0.028552956556676598,0.020394968969054714,0.0032631950350487542,58.0252367346023,0.4837278740080397,25.442723788895755,0.45548764030888855,15.318878738992664,0.007478155288653395,73547.55
Brunei,0.06611009589934747,0.02236024866643706,0.06940148214740628,0.04052022962757655,0.015530401599419586,0.014347973295827415,75.50927142915256,0.24149774487097456,14.936125487762705,0.44612843412696335,8.631223642989246,0.007482829861538529,56663.055
Bulgaria,0.09592174181724021,0.017431334067737763,0.05556594209251215,0.018049893781648913,0.016632829709779733,0.0073946002163014935,87.26740779064069,0.28256370058474045,7.335384771896905,0.4256301358179596,4.4700506922538725,0.007966567120593364,41494.24233333334
Burkina Faso,0.15761108544926752,0.039709350909782094,0.08403199405761243,0.04928631201155309,0.051563760078437645,0.009401772788933706,0.1388659359756792,0.7736315894894019,87.02917410973679,0.7082279526968197,10.908859448168492,0.04963668863722763,17124.43
Burundi,0.043588859038059834,0.011835276098312796,0.04396904248814531,0.018480221617197912,0.039654786815436306,0.0040167207987290635,43.36124485946519,0.06869749645892176,1.6764106582942557,0.23612698193351714,54.4744864672048,0.021488629787439432,60497.11
Cambodia,0.06322383822397755,0.017199113042500304,0.059936775382389465,0.022002082754719994,0.025667148080758633,0.002562233335322068,86.00539717403004,0.22070084232592804,8.505219571316346,0.23067114496991512,4.832124615182755,0.015295461355344665,51322.414
Cameroon,0.16280745313673942,0.042817335316057414,0.11896525891563758,0.0506262159996256,0.04314383903801845,0.00887908732777382,83.48598591608057,0.6674733727145192,7.033062492449601,0.9088231100785531,7.4404393724308235,0.03697654651208771,15751.297142857144
Canada,0.14676488389800962,0.033222498760196,0.07489628106932623,0.033365701832208564,0.033156959948031625,0.020457932542776253,64.56631764655265,0.3582966954489801,16.82556160284887,0.4528745734359597,17.446163349954595,0.008921873708409592,54293.52799999999
Cape Verde,2.360825849627144,0.42379639545216335,1.1795991836548696,0.8143921516292724,0.705025339899682,0.2786249727396712,1.5701949398319788,7.728588028891066,6.1958251823593935,0.0,77.44114210199106,1.3019858539236973,1536.115
Chad,0.15402932598186103,0.02521874625434496,0.043054057293539484,0.04845579128211274,0.05219545327420193,0.006168844140796674,86.26396579967238,1.0104438850932917,5.989500179791442,0.9370570138639176,5.469910903352111,0.0,31286.250000000004
Chile,0.1434276642101989,0.03465918029326704,0.07862347903514463,0.02437821737145602,0.024566705668235572,0.014209393056589806,77.22737962388783,0.3463496312602257,12.941862944123015,0.5050901801379073,8.64762951570688,0.011823465249253763,31046.234444444442
